"name","namespace","revision","updated","status","chart","app_version"
"vector-frontend-c-j16620-unleash-proxy","default","5","2024-09-23 07:27:36.112725899 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-e-bhzsfs","default","7","2024-09-13 12:47:56.528402549 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-e-bhzsfs-unleash-proxy","default","7","2024-09-13 12:48:05.691117371 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-e-e6jtw7","default","3","2024-08-29 13:01:07.147264557 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-e-e6jtw7-unleash-proxy","default","3","2024-08-29 13:01:16.881367232 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-f-929x8c","default","1","2024-09-23 07:52:58.280413736 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-f-929x8c-unleash-proxy","default","1","2024-09-23 07:53:08.509965661 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-f-g6db20","default","1","2024-09-22 08:43:55.019413332 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-f-g6db20-unleash-proxy","default","1","2024-09-22 08:44:03.117097258 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-f-wtxal5","default","1","2024-09-04 04:48:19.611216019 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-f-wtxal5-unleash-proxy","default","1","2024-09-04 04:48:25.891552483 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-f-z1jutr","default","2","2024-09-22 09:19:44.793176945 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-f-z1jutr-unleash-proxy","default","2","2024-09-22 09:19:57.594608218 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-o-5rq7xe","default","10","2024-09-20 10:41:41.968154834 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-o-5rq7xe-unleash-proxy","default","10","2024-09-20 10:41:51.118631677 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-o-c26d0r","default","1","2024-09-11 08:10:52.464262506 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-o-c26d0r-unleash-proxy","default","1","2024-09-11 08:11:00.352138036 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-o-l6hych","default","1","2024-08-30 10:46:14.043250248 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-o-l6hych-unleash-proxy","default","1","2024-08-30 10:46:22.289412858 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-o-m05sln","default","8","2024-09-20 16:22:21.350697238 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
